"zip","id","formattedAddress","addressLine1","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","status","price","listedDate","removedDate","daysOnMarket","addressLine2","lotSize","yearBuilt"
"1","609-N-Pinckney-St,-Union,-SC-29379","609 N Pinckney St, Union, SC 29379","609 N Pinckney St","Union","SC","29379","Union",34.7214,-81.6256,"Single Family","Standard",3,1,NA,"Inactive",670,"2024-10-17T00:00:00.000Z","2024-10-27T00:00:00.000Z",10,NA,NA,NA
"1","113-Woodrow-St,-Union,-SC-29379","113 Woodrow St, Union, SC 29379","113 Woodrow St","Union","SC","29379","Union",34.7103,-81.6139,"Single Family","Standard",3,1,NA,"Inactive",700,"2024-10-23T00:00:00.000Z","2024-10-24T00:00:00.000Z",1,NA,NA,NA
"1","110-Park-Dr,-Apt-4,-Union,-SC-29379","110 Park Dr, Apt 4, Union, SC 29379","110 Park Dr","Union","SC","29379","Union",34.7169,-81.612,"Apartment","Standard",2,1,NA,"Inactive",550,"2024-10-01T00:00:00.000Z","2024-10-08T00:00:00.000Z",7,"Apt 4",NA,NA
"1","300-N-Evans-St,-Union,-SC-29379","300 N Evans St, Union, SC 29379","300 N Evans St","Union","SC","29379","Union",34.7116,-81.6356,"Single Family","Standard",2,1,950,"Inactive",1190,"2024-06-19T00:00:00.000Z","2024-08-21T00:00:00.000Z",63,NA,NA,NA
"1","122-Hillside-Dr,-Union,-SC-29379","122 Hillside Dr, Union, SC 29379","122 Hillside Dr","Union","SC","29379","Union",34.7068,-81.627,"Single Family",NA,2,1,780,"Inactive",950,"2024-07-15T00:00:00.000Z","2024-08-03T00:00:00.000Z",19,NA,NA,NA
"1","108-Longview-Hts,-Union,-SC-29379","108 Longview Hts, Union, SC 29379","108 Longview Hts","Union","SC","29379","Union",34.7212,-81.6045,"Single Family",NA,3,1,1000,"Inactive",895,"2023-09-25T00:00:00.000Z","2024-07-19T00:00:00.000Z",298,NA,NA,NA
"1","200-Cottage-Ave,-Union,-SC-29379","200 Cottage Ave, Union, SC 29379","200 Cottage Ave","Union","SC","29379","Union",34.7043,-81.6195,"Single Family",NA,1,1,NA,"Inactive",800,"2024-03-27T00:00:00.000Z","2024-06-13T00:00:00.000Z",78,NA,NA,NA
"1","160-Hill-Top-Vw,-Union,-SC-29379","160 Hill Top Vw, Union, SC 29379","160 Hill Top Vw","Union","SC","29379","Union",34.6986,-81.6364,"Manufactured",NA,4,2,1836,"Inactive",1500,"2024-04-12T00:00:00.000Z","2024-06-07T00:00:00.000Z",56,NA,NA,NA
"1","202-Hart-St,-Union,-SC-29379","202 Hart St, Union, SC 29379","202 Hart St","Union","SC","29379","Union",34.7034,-81.6194,"Single Family",NA,3,2,NA,"Inactive",1300,"2023-11-09T00:00:00.000Z","2024-05-18T00:00:00.000Z",191,NA,NA,NA
"1","317-W-South-St,-Unit-A,-Union,-SC-29379","317 W South St, Unit A, Union, SC 29379","317 W South St","Union","SC","29379","Union",34.7112,-81.6282,"Apartment",NA,1,1,NA,"Inactive",850,"2023-05-16T00:00:00.000Z","2024-05-15T00:00:00.000Z",365,"Unit A",NA,NA
