"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket"
"1","3506-Buster-Ln,---9-302,-Fort-Mill,-SC-29707","3506 Buster Ln, # 9-302, Fort Mill, SC 29707","3506 Buster Ln","# 9-302","Fort Mill","SC","29707","Lancaster",34.9979,-80.8703,"Apartment","Standard",3,2,1367,NA,NA,"Inactive",2143,"2025-10-09T00:00:00.000Z","2025-10-10T00:00:00.000Z",1
"1","3506-Buster-Ln,---7-106,-Fort-Mill,-SC-29707","3506 Buster Ln, # 7-106, Fort Mill, SC 29707","3506 Buster Ln","# 7-106","Fort Mill","SC","29707","Lancaster",34.9979,-80.8703,"Apartment","Standard",2,2,1018,NA,NA,"Inactive",1802,"2025-10-09T00:00:00.000Z","2025-10-10T00:00:00.000Z",1
"1","3506-Buster-Ln,---8-006,-Fort-Mill,-SC-29707","3506 Buster Ln, # 8-006, Fort Mill, SC 29707","3506 Buster Ln","# 8-006","Fort Mill","SC","29707","Lancaster",34.9979,-80.8703,"Apartment","Standard",2,2,1018,NA,NA,"Inactive",1767,"2025-10-09T00:00:00.000Z","2025-10-10T00:00:00.000Z",1
"1","6309-Rhodins-Ln,-Unit-6309,-Indian-Land,-SC-29707","6309 Rhodins Ln, Unit 6309, Indian Land, SC 29707","6309 Rhodins Ln","Unit 6309","Indian Land","SC","29707","Lancaster",35.0025,-80.868,"Townhouse","Standard",3,2.5,1353,NA,NA,"Inactive",1875,"2024-10-29T00:00:00.000Z","2025-10-08T00:00:00.000Z",344
"1","5380-Orchid-Bloom-Dr,-Unit-5380,-Indian-Land,-SC-29707","5380 Orchid Bloom Dr, Unit 5380, Indian Land, SC 29707","5380 Orchid Bloom Dr","Unit 5380","Indian Land","SC","29707","Lancaster",34.9367,-80.8321,"Apartment","Standard",3,2.5,1634,NA,NA,"Inactive",2350,"2025-09-16T00:00:00.000Z","2025-10-08T00:00:00.000Z",22
"1","5338-Orchid-Bloom-Dr,-Unit-5338,-Indian-Land,-SC-29707","5338 Orchid Bloom Dr, Unit 5338, Indian Land, SC 29707","5338 Orchid Bloom Dr","Unit 5338","Indian Land","SC","29707","Lancaster",34.9366,-80.8312,"Townhouse","Standard",3,2,1788,NA,NA,"Inactive",2350,"2025-09-04T00:00:00.000Z","2025-10-08T00:00:00.000Z",34
"1","1410-Juniper-Hills-Ln,-Indian-Land,-SC-29707","1410 Juniper Hills Ln, Indian Land, SC 29707","1410 Juniper Hills Ln",NA,"Indian Land","SC","29707","Lancaster",34.9557,-80.8205,"Single Family","Standard",3,3,1529,NA,NA,"Inactive",1850,"2025-10-04T00:00:00.000Z","2025-10-05T00:00:00.000Z",1
"1","9848-Verdun-Ct,-Fort-Mill,-SC-29707","9848 Verdun Ct, Fort Mill, SC 29707","9848 Verdun Ct",NA,"Fort Mill","SC","29707","Lancaster",35.0209,-80.8983,"Single Family","Standard",4,3,NA,NA,NA,"Inactive",2975,"2025-07-02T00:00:00.000Z","2025-10-05T00:00:00.000Z",95
"1","6021-Queens-Walk-Ct,-Indian-Land,-SC-29707","6021 Queens Walk Ct, Indian Land, SC 29707","6021 Queens Walk Ct",NA,"Indian Land","SC","29707","Lancaster",35.0159,-80.8693,"Townhouse","Standard",3,2.5,1800,2178,2005,"Inactive",2050,"2025-06-24T00:00:00.000Z","2025-10-04T00:00:00.000Z",102
"1","2266-Hanover-Ct,-Indian-Land,-SC-29707","2266 Hanover Ct, Indian Land, SC 29707","2266 Hanover Ct",NA,"Indian Land","SC","29707","Lancaster",34.9695,-80.8561,"Townhouse","Standard",3,2,NA,NA,NA,"Inactive",2195,"2025-10-01T00:00:00.000Z","2025-10-02T00:00:00.000Z",1
"1","4011-Black-Walnut-Way,-Indian-Land,-SC-29707","4011 Black Walnut Way, Indian Land, SC 29707","4011 Black Walnut Way",NA,"Indian Land","SC","29707","Lancaster",34.9387,-80.8323,"Single Family","Standard",3,2,1770,NA,NA,"Inactive",2100,"2025-09-30T00:00:00.000Z","2025-10-01T00:00:00.000Z",1
"1","2099-Brookchase-Blvd,-Indian-Land,-SC-29707","2099 Brookchase Blvd, Indian Land, SC 29707","2099 Brookchase Blvd",NA,"Indian Land","SC","29707","Lancaster",34.967,-80.8581,"Single Family","Standard",4,3.5,1750,NA,NA,"Inactive",2400,"2025-09-20T00:00:00.000Z","2025-10-01T00:00:00.000Z",11
