"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket","hoa.fee"
"1","1192-Great-Falls-Hwy,-Chester,-SC-29706","1192 Great Falls Hwy, Chester, SC 29706","1192 Great Falls Hwy",NA,"Chester","SC","29706","Chester",34.658,-81.1615,"Single Family","New Construction",3,2,1620,127195,2024,"Inactive",310000,"2024-08-22T00:00:00.000Z","2024-11-28T00:00:00.000Z",98,NA
"1","1775-Proposal-Ave,-Chester,-SC-29706","1775 Proposal Ave, Chester, SC 29706","1775 Proposal Ave",NA,"Chester","SC","29706","Chester",34.7944,-81.1184,"Manufactured","Standard",3,2,1756,284447,1995,"Inactive",275000,"2024-10-17T00:00:00.000Z","2024-11-27T00:00:00.000Z",41,NA
"1","622-Summersby-St,-Chester,-SC-29706","622 Summersby St, Chester, SC 29706","622 Summersby St",NA,"Chester","SC","29706","Chester",34.7199,-81.1909,"Single Family","Standard",2,2,1491,17772,1953,"Inactive",170000,"2024-11-18T00:00:00.000Z","2024-11-23T00:00:00.000Z",5,NA
"1","1430-Aaron-Burr-Rd,-Chester,-SC-29706","1430 Aaron Burr Rd, Chester, SC 29706","1430 Aaron Burr Rd",NA,"Chester","SC","29706","Chester",34.7852,-81.1882,"Single Family","Standard",4,2.5,3245,729194,1994,"Inactive",850000,"2024-09-18T00:00:00.000Z","2024-11-23T00:00:00.000Z",66,NA
"1","42-E-White-St,-Chester,-SC-29706","42 E White St, Chester, SC 29706","42 E White St",NA,"Chester","SC","29706","Chester",34.7063,-81.2085,"Manufactured","Standard",3,2,1140,5227,1940,"Inactive",179999,"2024-04-20T00:00:00.000Z","2024-11-20T00:00:00.000Z",214,NA
"1","543-Second-St,-Chester,-SC-29706","543 Second St, Chester, SC 29706","543 Second St",NA,"Chester","SC","29706","Chester",34.7159,-81.1954,"Single Family","Standard",2,1,1129,5663,1955,"Inactive",149900,"2024-04-26T00:00:00.000Z","2024-11-19T00:00:00.000Z",207,NA
"1","102-Arbor-Ct,-Chester,-SC-29706","102 Arbor Ct, Chester, SC 29706","102 Arbor Ct",NA,"Chester","SC","29706","Chester",34.7187,-81.2123,"Single Family","Standard",4,1.5,1144,13068,1981,"Inactive",27200,"2024-10-22T00:00:00.000Z","2024-11-19T00:00:00.000Z",28,NA
"1","961-Pine-Ridge-Rd,-Chester,-SC-29706","961 Pine Ridge Rd, Chester, SC 29706","961 Pine Ridge Rd",NA,"Chester","SC","29706","Chester",34.7111,-81.2467,"Single Family","Standard",3,2.5,1346,24829,2022,"Inactive",269000,"2024-08-08T00:00:00.000Z","2024-11-16T00:00:00.000Z",100,NA
"1","541-Great-Falls-Hwy,-Chester,-SC-29706","541 Great Falls Hwy, Chester, SC 29706","541 Great Falls Hwy",NA,"Chester","SC","29706","Chester",34.6863,-81.1887,"Single Family","Standard",2,1,840,91476,1960,"Inactive",199900,"2024-09-22T00:00:00.000Z","2024-11-16T00:00:00.000Z",55,NA
"1","113-Gaston-St,-Chester,-SC-29706","113 Gaston St, Chester, SC 29706","113 Gaston St",NA,"Chester","SC","29706","Chester",34.7134,-81.2103,"Single Family","Standard",3,1,1102,30492,1920,"Inactive",149900,"2024-07-10T00:00:00.000Z","2024-11-15T00:00:00.000Z",128,NA
"1","768-Old-York-Rd,-Chester,-SC-29706","768 Old York Rd, Chester, SC 29706","768 Old York Rd",NA,"Chester","SC","29706","Chester",34.7332,-81.2017,"Single Family","New Construction",3,2,1500,24045,2025,"Inactive",254999,"2024-09-03T00:00:00.000Z","2024-11-15T00:00:00.000Z",73,NA
"1","107-Colonial-Dr,-Unit-38,-Chester,-SC-29706","107 Colonial Dr, Unit 38, Chester, SC 29706","107 Colonial Dr","Unit 38","Chester","SC","29706","Chester",34.7176,-81.2227,"Single Family","Standard",3,2,1480,23958,1967,"Inactive",252375,"2024-04-03T00:00:00.000Z","2024-11-14T00:00:00.000Z",225,NA
"1","113-Graham-St,-Chester,-SC-29706","113 Graham St, Chester, SC 29706","113 Graham St",NA,"Chester","SC","29706","Chester",34.7073,-81.2016,"Single Family","Standard",3,2,1137,8276,1937,"Inactive",239900,"2024-10-02T00:00:00.000Z","2024-11-14T00:00:00.000Z",43,NA
"1","675-Lancaster-Hwy,-Chester,-SC-29706","675 Lancaster Hwy, Chester, SC 29706","675 Lancaster Hwy",NA,"Chester","SC","29706","Chester",34.7078,-81.1853,"Single Family","Standard",3,1,1082,10890,1982,"Inactive",169500,"2024-11-09T00:00:00.000Z","2024-11-14T00:00:00.000Z",5,NA
"1","1190-Great-Falls-Hwy,-Chester,-SC-29706","1190 Great Falls Hwy, Chester, SC 29706","1190 Great Falls Hwy",NA,"Chester","SC","29706","Chester",34.6584,-81.162,"Land","Standard",3,2,1540,127195,2025,"Inactive",59900,"2024-09-14T00:00:00.000Z","2024-11-12T00:00:00.000Z",59,NA
"1","1188-Great-Falls-Hwy,-Chester,-SC-29706","1188 Great Falls Hwy, Chester, SC 29706","1188 Great Falls Hwy",NA,"Chester","SC","29706","Chester",34.659,-81.1626,"Land","Standard",NA,NA,NA,127195,NA,"Inactive",59900,"2024-09-14T00:00:00.000Z","2024-11-12T00:00:00.000Z",59,NA
